"player_name","name_in_home_country","date_of_birth","place_of_birth","age","height","citizenship","position","foot","player_agent","current_club","joined","contract_expires","date_of_last_contract_extension","outfitter","instagram","player_valuation","max_player_valuation","max_player_valuation_date","URL","contract_option","na","on_loan_from","contract_there_expires","twitter","facebook","x2nd_club","full_name","website","x3nd_club","date_of_death"
"Tam�s Cseri",NA,"1988-01-15","Gy�r","35",1.74,"Hungary","midfield - Attacking Midfield","right","Bekeffy Football Consulting Kf","Mez�k�vesd Zs�ry FC","2017-07-14","2023-06-30",NA,NA,NA,NA,NA,"2020-07-28","https://www.transfermarkt.com/tamas-cseri/profil/spieler/141594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benj�min Cseke",NA,"1994-07-22","Budapest","28",1.84,"Hungary","midfield - Central Midfield","left","The Footballers Group","Di�sgy�ri VTK","2022-08-31","2023-06-30",NA,NA,NA,NA,NA,"2021-01-24","https://www.transfermarkt.com/benjamin-cseke/profil/spieler/259919",NA,NA,"Mez�k�vesd Zs�ry FC","Jun 30, 2024",NA,NA,NA,NA,NA,NA,NA
"David Babunski","<U+0414>a<U+0432><U+0438><U+0434> <U+0411><U+0430><U+0431><U+0443><U+043D><U+0441><U+043A><U+0438>","1994-03-01","Skopje","28",1.78,"North Macedonia Spain","midfield - Central Midfield","right","Ab9sportmanagement","Mez�k�vesd Zs�ry FC","2022-09-28","2025-06-30",NA,NA,"http://www.instagram.com/davidbabunski/",NA,NA,"2013-10-08","https://www.transfermarkt.com/david-babunski/profil/spieler/133628",NA,NA,NA,NA,"http://twitter.com/davidbabunski",NA,NA,NA,NA,NA,NA
"Thomas Ephestion",NA,"1995-06-09","Sucy-en-Brie","27",1.89,"Martinique France","midfield - Attacking Midfield","left","NBS Group","Mez�k�vesd Zs�ry FC","2023-01-26","2025-06-30",NA,NA,"http://www.instagram.com/ephesthomas/",NA,NA,"2020-01-06","https://www.transfermarkt.com/thomas-ephestion/profil/spieler/288235",NA,NA,NA,NA,"http://twitter.com/tephestion94?lang=de",NA,NA,NA,NA,NA,NA
"M�rk Madar�sz",NA,"1995-11-24","Mosonmagyar�v�r","27",1.76,"Hungary","midfield - Central Midfield","both",NA,"Gyirm�t FC Gy�r","2023-01-26",NA,NA,NA,NA,NA,NA,"2022-01-06","https://www.transfermarkt.com/mark-madarasz/profil/spieler/292005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gerg� Nagy",NA,"1993-01-07","Gyula","30",1.72,"Hungary","midfield - Central Midfield","right","More than Sport GmbH","Mez�k�vesd Zs�ry FC","2022-07-18","2024-06-30",NA,NA,NA,NA,NA,"2019-08-07","https://www.transfermarkt.com/gerg%C5%91-nagy/profil/spieler/151620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aleksandr Karnitskiy","<U+041A><U+0430><U+0440><U+043D><U+0438><U+0446><U+043A><U+0438><U+0439> <U+0410><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440> <U+0418><U+0432><U+0430><U+043D><U+043E><U+0432><U+0438><U+0447>","1989-02-14","Stolbtsy","33",1.87,"Belarus","midfield - Defensive Midfield","right","Carpathian FA","Mez�k�vesd Zs�ry FC","2019-08-01","2023-06-30",NA,NA,NA,NA,1e+06,"2014-11-19","https://www.transfermarkt.com/aleksandr-karnitskiy/profil/spieler/253371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kamer Qaka",NA,"1995-04-11","Pej�","27",1.71,"Albania Kosovo","midfield - Central Midfield","right",NA,"Shkendija Tetovo","2023-01-05","2025-12-31",NA,"adidas",NA,NA,1e+06,"2018-06-14","https://www.transfermarkt.com/kamer-qaka/profil/spieler/167821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marko Brtan",NA,"1991-04-07","Zagreb","31",1.89,"Croatia","midfield - Defensive Midfield","right",NA,"Mez�k�vesd Zs�ry FC","2022-09-30","2023-06-30",NA,NA,NA,NA,NA,"2013-10-08","https://www.transfermarkt.com/marko-brtan/profil/spieler/207007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Attila M�rkus","M�rkus Attila M�rk","1996-12-29",NA,"26",1.89,"Hungary Norway","midfield - Central Midfield","right","NB FA","Mez�k�vesd Zs�ry FC","2023-01-24",NA,NA,NA,NA,NA,NA,"2021-10-11","https://www.transfermarkt.com/attila-markus/profil/spieler/267450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rich�rd Rabatin",NA,"1999-08-17","Ny�regyh�za","23",1.83,"Hungary","midfield - Attacking Midfield","right","ProStar","FC Ajka","2023-01-25","2024-06-30",NA,NA,NA,NA,NA,"2022-01-07","https://www.transfermarkt.com/richard-rabatin/profil/spieler/454865","club option 1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Attila Bodn�r",NA,"2005-01-29","Eger","18",1.7,"Hungary","midfield - Attacking Midfield",NA,NA,"Mez�k�vesd Zs�ry FC","2022-07-01",NA,NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/attila-bodnar/profil/spieler/1015309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marin Jurina",NA,"1993-11-26","Livno","29",1.88,"Bosnia-Herzegovina Croatia","Attack - Centre-Forward","right","ARENA Sport Agency","Al-Faisaly FC","2022-08-25","2023-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/marin-jurina/profil/spieler/229610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominik Nagy","Nagy Dominik Adri�n","1995-05-08","P�cs","27",1.74,"Hungary","Attack - Left Winger","left",NA,"Mez�k�vesd Zs�ry FC","2023-01-24","2024-06-30",NA,NA,"http://www.instagram.com/ngydominik/",NA,1500000,"2019-01-25","https://www.transfermarkt.com/dominik-nagy/profil/spieler/200651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tomislav Kis","Tomislav Ki�","1994-04-04","Zagreb","28",1.81,"Croatia","Attack - Centre-Forward","right","Jurkicsport","HSK Zrinjski Mostar","2023-01-14","2024-05-31",NA,NA,NA,NA,NA,"2016-02-07","https://www.transfermarkt.com/tomislav-kis/profil/spieler/179899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stefan Drazic","<U+0421><U+0442><U+0435><U+0444><U+0430><U+043D> <U+0414><U+0440><U+0430><U+0436><U+0438><U+045B>","1992-08-14","Belgrad","30",1.87,"Serbia","Attack - Centre-Forward","right",NA,"Mez�k�vesd Zs�ry FC","2021-07-26","2023-06-30",NA,NA,NA,NA,NA,"2015-11-23","https://www.transfermarkt.com/stefan-drazic/profil/spieler/138850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nikolay Prudnikov","<U+041F><U+0440><U+0443><U+0434><U+043D><U+0438><U+043A><U+043E><U+0432> <U+041D><U+0438><U+043A><U+043E><U+043B><U+0430><U+0439> <U+0410><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440><U+043E><U+0432><U+0438><U+0447>","1998-01-01","Shklov","25",1.71,"Russia Belarus","Attack - Left Winger","right","no agent","Mez�k�vesd Zs�ry FC","2023-01-01","2025-06-30",NA,NA,NA,NA,NA,"2021-04-12","https://www.transfermarkt.com/nikolay-prudnikov/profil/spieler/388537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G�bor Moln�r",NA,"1994-05-16","Miskolc","28",1.78,"Hungary","Attack - Right Winger","both","ProStar","Mez�k�vesd Zs�ry FC","2022-07-28","2024-06-30",NA,NA,NA,NA,NA,"2019-01-05","https://www.transfermarkt.com/gabor-molnar/profil/spieler/216927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Remzifaik Selmani",NA,"1997-05-05","Tetovo","25",1.8,"North Macedonia","Attack - Centre-Forward","right","PFAgency","FK Partizani","2023-02-03","2025-06-30",NA,NA,NA,NA,NA,"2021-12-16","https://www.transfermarkt.com/remzifaik-selmani/profil/spieler/344508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gergely Bob�l",NA,"1995-08-31","P�szt�","27",1.88,"Hungary","Attack - Centre-Forward","left","Relatives","Mez�k�vesd Zs�ry FC","2022-08-29","2023-06-30",NA,NA,NA,NA,NA,"2020-08-17","https://www.transfermarkt.com/gergely-bobal/profil/spieler/164817",NA,NA,"Vasas FC","-",NA,NA,NA,NA,NA,NA,NA
"Zal�n K�llai",NA,"2004-02-21","Miskolc","18",NA,"Hungary","Attack - Left Winger",NA,NA,"Mez�k�vesd Zs�ry FC","2022-07-28","2025-06-30",NA,NA,NA,NA,NA,"2022-10-10","https://www.transfermarkt.com/zalan-kallai/profil/spieler/923916",NA,NA,NA,NA,NA,NA,"Kazincbarcikai SC (#32)",NA,NA,NA,NA
"Patrik Demj�n",NA,"1998-03-22","Esztergom","24",1.86,"Hungary","Goalkeeper","right","EM Sports Consulting","Zalaegerszegi TE FC","2019-07-29","2024-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/patrik-demjen/profil/spieler/263367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M�rton Gyurj�n","Gyurj�n M�rton L�szl�","1995-05-01","Ny�regyh�za","27",1.86,"Hungary","Goalkeeper","right","BePro Career Agency","Zalaegerszegi TE FC","2020-07-29","2024-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/marton-gyurjan/profil/spieler/251134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervin N�meth",NA,"2003-07-05",NA,"19",NA,"Hungary","Goalkeeper",NA,"V Agency","Zalaegerszegi TE FC","2022-07-01",NA,NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/ervin-nemeth/profil/spieler/870941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Attila Mocsi",NA,"2000-05-29","Kom�rno","22",1.88,"Hungary","Defender - Centre-Back","right","World in Motion","Zalaegerszegi TE FC","2022-01-20","2025-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/attila-mocsi/profil/spieler/496996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bence Gerg�nyi",NA,"1998-03-16","Budapest","24",1.87,"Hungary","Defender - Left-Back","left","Stars & Friends","Zalaegerszegi TE FC","2019-07-04","2025-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/bence-gergenyi/profil/spieler/263369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D�vid K�lnoki-Kis",NA,"1991-08-06","Budapest","31",1.87,"Hungary","Defender - Centre-Back","right","Vladan Filipovic","Zalaegerszegi TE FC","2021-01-18","2023-06-30",NA,NA,NA,NA,NA,"2016-09-30","https://www.transfermarkt.com/david-kalnoki-kis/profil/spieler/110501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oleksandr Safronov","<U+0421><U+0430><U+0444><U+0440><U+043E><U+043D><U+043E><U+0432> <U+041E><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440> <U+041E><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440><U+043E><U+0432><U+0438><U+0447>","1999-06-11","Zaporizhya","23",1.86,"Ukraine","Defender - Centre-Back","right","ProStar","Zalaegerszegi TE FC","2022-07-01","2024-06-30",NA,NA,NA,NA,NA,"2020-01-08","https://www.transfermarkt.com/oleksandr-safronov/profil/spieler/467241","club option 1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zoran Lesjak",NA,"1988-02-01","�akovec","35",1.85,"Croatia","Defender - Centre-Back","right","no agent","Zalaegerszegi TE FC","2018-08-01","2023-06-30",NA,NA,NA,NA,NA,"2011-08-29","https://www.transfermarkt.com/zoran-lesjak/profil/spieler/59547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D�niel Cs�ka",NA,"2000-04-04","Zalaegerszeg","22",1.88,"Hungary","Defender - Centre-Back","left",NA,"Zalaegerszegi TE FC","2022-07-20","2025-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/daniel-csoka/profil/spieler/451273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andr�s Huszti",NA,"2001-01-29","P�cs","22",1.84,"Hungary","Defender - Right-Back","right","feel soccer GmbH","Zalaegerszegi TE FC","2022-07-01","2025-06-30",NA,NA,NA,NA,NA,"2021-06-01","https://www.transfermarkt.com/andras-huszti/profil/spieler/592925","club option 1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botond Gergely",NA,"2003-01-11","Gheorgheni","20",NA,"Romania Hungary","Defender - Centre-Back","right","BePro Career Agency","Zalaegerszegi TE FC","2022-07-01","2026-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/botond-gergely/profil/spieler/703743","club option 1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M�ty�s Tajti",NA,"1998-06-02","Budapest","24",1.83,"Hungary","midfield - Central Midfield","right","the path sports management","Zalaegerszegi TE FC","2020-08-11","2025-06-30",NA,NA,NA,NA,NA,"2019-01-05","https://www.transfermarkt.com/matyas-tajti/profil/spieler/263381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bence Bedi",NA,"1996-11-14","Nagykanizsa","26",1.82,"Hungary","midfield - Central Midfield","left",NA,"Zalaegerszegi TE FC","2015-01-01","2024-06-30",NA,NA,NA,NA,NA,"2021-01-24","https://www.transfermarkt.com/bence-bedi/profil/spieler/358835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bojan Sankovic","Bojan Sankovi�","1993-11-21","Knin","29",1.77,"Montenegro Croatia","midfield - Defensive Midfield","right","Double V Sports","Zalaegerszegi TE FC","2020-08-03","2025-06-30",NA,NA,NA,NA,NA,"2019-08-07","https://www.transfermarkt.com/bojan-sankovic/profil/spieler/277414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norbert Szendrei",NA,"2000-03-27","Ny�regyh�za","22",1.83,"Hungary","midfield - Attacking Midfield","right","Schultz Levente","Zalaegerszegi TE FC","2022-07-25","2026-06-30",NA,NA,NA,NA,NA,"2021-10-11","https://www.transfermarkt.com/norbert-szendrei/profil/spieler/496999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gergely Mim",NA,"1999-06-07","P�cs","23",1.88,"Hungary","midfield - Attacking Midfield","right","BePro Career Agency","Zalaegerszegi TE FC","2022-07-01","2023-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/gergely-mim/profil/spieler/439350",NA,NA,"Pusk�s Akad�mia FC","Jun 30, 2023",NA,NA,NA,NA,NA,NA,NA
"Barnab�s Kov�cs",NA,"2002-11-14","Duna�jv�ros","20",1.81,"Hungary","midfield - Attacking Midfield","right","Stars & Friends","Zalaegerszegi TE FC","2020-08-06","2025-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/barnabas-kovacs/profil/spieler/733334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zsombor Boros",NA,"2005-02-07",NA,"18",NA,"Hungary","midfield - Defensive Midfield",NA,NA,"Zalaegerszegi TE FC","2022-07-28",NA,NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/zsombor-boros/profil/spieler/933206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denys Kryvotsiuk",NA,"2004-10-01",NA,"18",NA,"Ukraine","midfield",NA,NA,"Zalaegerszegi TE FC II","2022-01-01",NA,NA,NA,NA,NA,NA,NA,"https://www.transfermarkt.com/denys-kryvotsiuk/profil/spieler/1049348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Csongor Papp",NA,"2005-02-22","Zalaegerszeg","17",NA,"Hungary","midfield - Left Midfield","left",NA,"Zalaegerszegi TE FC","2023-01-01","2024-06-30",NA,NA,NA,NA,NA,NA,"https://www.transfermarkt.com/csongor-papp/profil/spieler/933236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diego Carioca",NA,"1998-02-06","Niter�i","25",1.77,"Brazil","Attack - Left Winger","right",NA,"Sumgayit PFC","2023-01-12","2023-06-30",NA,NA,NA,NA,NA,"2021-09-03","https://www.transfermarkt.com/diego-carioca/profil/spieler/687881",NA,NA,"Kolos Kovalivka","Jun 30, 2024",NA,NA,NA,"Diego Santos Carioca",NA,NA,NA
"Eduvie Ikoba",NA,"1997-10-26","Bettendorf, Iowa","25",1.93,"United States Nigeria","Attack - Centre-Forward","left","Dynamic Lions","Zalaegerszegi TE FC","2022-07-27","2025-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/eduvie-ikoba/profil/spieler/689635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meshack Ubochioma","Meshack Izuchukwu Ubochioma","2001-11-29",NA,"21",1.75,"Nigeria","Attack - Right Winger","left","Football Mix B.V.","Zalaegerszegi TE FC","2020-01-01","2024-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/meshack-ubochioma/profil/spieler/733362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christy Manzinga",NA,"1995-01-31","Paris","28",1.84,"DR Congo France","Attack - Centre-Forward","right","TF","Zalaegerszegi TE FC","2022-07-27","2025-06-30",NA,NA,NA,NA,NA,"2022-06-21","https://www.transfermarkt.com/christy-manzinga/profil/spieler/510045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D�niel N�meth",NA,"2003-10-09","Gy�ngy�s","19",1.81,"Hungary","Attack - Centre-Forward","right","EM Sports Consulting","Zalaegerszegi TE FC","2021-02-15","2025-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/daniel-nemeth/profil/spieler/720983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mil�n M�jer",NA,"1999-06-28","Budapest","23",1.79,"Hungary","Attack - Left Winger","left","Schultz Levente","Kecskem�ti TE","2023-02-09","2024-06-30",NA,NA,NA,NA,NA,"2021-10-11","https://www.transfermarkt.com/milan-majer/profil/spieler/204156","club option 1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Szabolcs Szalay",NA,"2002-02-17","Veszpr�m","20",1.81,"Hungary","Attack - Centre-Forward","right","Invicti Group","Zalaegerszegi TE FC","2021-01-12","2026-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/szabolcs-szalay/profil/spieler/543776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mil�n Klausz","Klausz Mil�n G�bor","2005-02-24",NA,"17",NA,"Hungary","Attack - Centre-Forward",NA,NA,"Zalaegerszegi TE FC","2022-07-12",NA,NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/milan-klausz/profil/spieler/951430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oleksandr Kosovshchuk",NA,"2005-03-07",NA,"17",1.75,"Ukraine Hungary","Attack - Right Winger","left",NA,"Zalaegerszegi TE FC II","2022-08-08",NA,NA,NA,NA,NA,NA,NA,"https://www.transfermarkt.com/oleksandr-kosovshchuk/profil/spieler/1076813","Amateur contract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philip Baloteli","Philip Christopher Baloteli","2004-02-15",NA,"18",NA,"Nigeria","Attack",NA,"V Agency","Zalaegerszegi TE FC II","2023-01-01",NA,NA,NA,NA,NA,NA,NA,"https://www.transfermarkt.com/philip-baloteli/profil/spieler/1103273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bence Varga",NA,"1996-01-09","Kazincbarcika","27",1.92,"Hungary","Goalkeeper","right","The Footballers Group","Kecskem�ti TE","2022-07-01","2023-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/bence-varga/profil/spieler/465973",NA,NA,"MTK Budapest","-",NA,NA,NA,NA,NA,NA,NA
"�d�m Varga","Varga �d�m G�bor","1999-02-12","Budapest","24",1.91,"Hungary","Goalkeeper","right","Center Sport","Kecskem�ti TE","2022-07-29","2023-06-30",NA,"Nike",NA,NA,NA,"2021-01-24","https://www.transfermarkt.com/adam-varga/profil/spieler/342973",NA,NA,"Ferencv�rosi TC","Jun 30, 2024",NA,NA,NA,NA,NA,NA,NA
"Roland Kers�k","Kers�k Roland Attila","1997-07-31","Budapest","25",1.91,"Hungary","Goalkeeper","right",NA,"Kecskem�ti TE","2021-07-21","2023-06-30","2022-06-28",NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/roland-kersak/profil/spieler/392737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G�bor Szalai","Szalai G�bor S�ndor","2000-06-09","Kecskem�t","22",1.85,"Hungary","Defender - Centre-Back","left","Center Sport","Kecskem�ti TE","2019-07-01","2024-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/gabor-szalai/profil/spieler/830057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M�ri� Zeke",NA,"2000-09-01","Sopron","22",1.84,"Hungary","Defender - Left-Back","left",NA,"Kecskem�ti TE","2022-07-01","2023-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/mario-zeke/profil/spieler/476090",NA,NA,"MOL Feh�rv�r FC","-",NA,NA,NA,NA,NA,NA,NA
"Alex Szab�",NA,"1998-08-26","Nagyat�d","24",1.85,"Hungary","Defender - Centre-Back","right","NB FA","Kecskem�ti TE","2021-07-21","2025-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/alex-szabo/profil/spieler/539696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Csaba Bel�nyesi",NA,"1994-03-03","Debrecen","28",1.93,"Hungary","Defender - Centre-Back","right","NB FA","Kecskem�ti TE","2022-07-05",NA,NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/csaba-belenyesi/profil/spieler/525019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G�bor Buna",NA,"2002-05-24","Kaposv�r","20",1.82,"Hungary","Defender - Right-Back","right","The Footballers Group","Kecskem�ti TE","2021-07-21",NA,NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/gabor-buna/profil/spieler/662610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Attila Gr�nwald","Gr�nwald Attila L�szl�","1991-07-26","Szeged","31",1.84,"Hungary","Defender - Left-Back","left",NA,"Kecskem�ti TE","2019-07-29","2023-06-30","2022-06-21",NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/attila-grunwald/profil/spieler/164628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mykhaylo Ryashko","<U+0420><U+044F><U+0448><U+043A><U+043E> <U+041C><U+0438><U+0445><U+0430><U+0439><U+043B><U+043E> <U+0412><U+0456><U+043A><U+0442><U+043E><U+0440><U+043E><U+0432><U+0438><U+0447>","1996-05-11","Mukacheve, Zakarpattya Oblast","26",1.92,"Ukraine Hungary","Defender - Centre-Back","right","Carpathian FA","Kecskem�ti TE","2021-07-21","2023-06-30","2022-06-29",NA,NA,NA,NA,"2015-12-17","https://www.transfermarkt.com/mykhaylo-ryashko/profil/spieler/355130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valentin Hadar�",NA,"1995-06-08","Kaposv�r","27",1.85,"Hungary","Defender - Left-Back","left","NB FA","Kecskem�ti TE","2021-07-21","2023-06-30",NA,NA,NA,NA,NA,"2019-08-07","https://www.transfermarkt.com/valentin-hadaro/profil/spieler/316402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mil�n S�gi",NA,"1995-07-19","P�cs","27",1.79,"Hungary","Defender - Right-Back","right",NA,"Koz�rmisleny FC","2023-01-24",NA,NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/milan-sagi/profil/spieler/374755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danilo Pejovic",NA,"1998-06-21","Subotica","24",NA,"Serbia Hungary","Defender - Centre-Back","left",NA,"P�csi MFC","2023-01-18",NA,NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/danilo-pejovic/profil/spieler/576752",NA,NA,"Kecskem�ti TE","-",NA,NA,NA,NA,NA,NA,NA
"D�vid T�th",NA,"1998-07-09","Sopron","24",1.82,"Hungary","Defender - Right-Back","right","Center Sport","Kecskem�ti TE","2022-01-25",NA,NA,NA,NA,NA,NA,"2017-07-31","https://www.transfermarkt.com/david-toth/profil/spieler/263382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"�bel Gy�ri","Gy�ri �bel Zsolt","2004-03-16",NA,"18",NA,"Hungary","Defender - Right-Back",NA,NA,"Kecskem�ti TE","2021-07-01",NA,NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/abel-gy%C5%91ri/profil/spieler/953899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imre Poly�k","Poly�k Imre Krist�f","2004-07-05","Sz�kesfeh�rv�r","18",NA,"Hungary","Defender - Centre-Back",NA,"NB FA","Kecskem�ti TE","2023-01-24",NA,NA,NA,NA,NA,NA,NA,"https://www.transfermarkt.com/imre-polyak/profil/spieler/721668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Krisztofer Horv�th","Horv�th Krisztofer Gy�rgy","2002-01-08","H�v�z","21",1.85,"Hungary","midfield - Attacking Midfield","right","Stars & Friends","Kecskem�ti TE","2023-01-13","2023-06-30",NA,NA,NA,NA,NA,"2022-06-07","https://www.transfermarkt.com/krisztofer-horvath/profil/spieler/543736",NA,NA,"Torino FC","-",NA,NA,NA,NA,NA,NA,NA
"B�lint Katona","Katona B�lint Lajos","2002-09-07","Budapest","20",1.78,"Hungary","midfield - Attacking Midfield","right","Vladan Filipovic","Kecskem�ti TE","2022-07-01","2023-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/balint-katona/profil/spieler/796518",NA,NA,"Ferencv�rosi TC II","-",NA,NA,NA,NA,NA,NA,NA
"Kriszti�n Nagy",NA,"1995-07-18","Kaposv�r","27",1.87,"Hungary","midfield - Right Midfield","right","NB FA","Kecskem�ti TE","2021-07-21","2025-06-30",NA,NA,NA,NA,NA,"2022-10-11","https://www.transfermarkt.com/krisztian-nagy/profil/spieler/335309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M�t� Katona",NA,"1997-06-22","Sopron","25",1.76,"Hungary","midfield - Central Midfield","right","CMGroup","Kecskem�ti TE","2022-07-01","2023-06-30",NA,NA,NA,NA,NA,"2020-07-28","https://www.transfermarkt.com/mate-katona/profil/spieler/225930",NA,NA,"Ferencv�rosi TC","-",NA,NA,NA,NA,NA,NA,NA
"Bence Ban�-Szab�","Ban�-Szab� Bence Zolt�n","1999-07-25","Kecskem�t","23",1.8,"Hungary","midfield - Attacking Midfield","left",NA,"Kecskem�ti TE","2022-07-18",NA,NA,NA,NA,NA,NA,"2019-08-07","https://www.transfermarkt.com/bence-bano-szabo/profil/spieler/513007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
