,name,date of birth,height,foot,joined,contract until,position
245,Krystian Bracik,"Mar 18, 2001",1.8, ,"May 11, 2021","Jun 30, 2024",Centre-Back
246,Oskar Wojcik,"Jul 21, 2003",1.9,right,"Aug 7, 2020","Jun 30, 2023",Centre-Back
247,Mathias Hebo Rasmussen ,"Aug 2, 1995",1.9,right,"Jul 1, 2021","Jun 30, 2024", Defensive Midfield
248,Jani Atanasov,"Oct 31, 1999",1.8,right,"Jan 23, 2023","Jun 30, 2026",Defensive Midfield
249,Takuto Oshima,"Jun 1, 1998",1.7, ,"Jul 12, 2022","Jun 30, 2024",Defensive Midfield
250,Karol Knap,"Sep 12, 2001",1.8,left,"Jul 1, 2021","Jun 30, 2026",Defensive Midfield
251,Kacper Jodlowski,"May 30, 1999",1.8, ,"Jul 14, 2022","Jun 30, 2025",Defensive Midfield
252,Robert Ozog,"Jan 8, 2000",1.7,right,"May 19, 2022","Jun 30, 2024",Central Midfield
253,Otar Kakabadze,"Jun 27, 1995",1.8,right,"Jul 1, 2021","Jun 30, 2024",Right Midfield
254,Mateusz Bochnak,"Feb 11, 1998",1.7,right,"Jan 24, 2023","Jun 30, 2025",Right Midfield
255,Cornel Rapa,"Jan 16, 1990",1.8,right,"Jul 31, 2018","Jun 30, 2024",Right Midfield
256,Michal Stachera,"Jan 18, 2001",1.7,right,"Aug 19, 2022","Jun 30, 2023",Right Midfield
257,Kamil Pestka ,"Aug 22, 1998",1.8,left,"May 31, 2017","Jun 30, 2023", Left Midfield
258,Pawel Jaroszynski,"Oct 2, 1994",1.8,left,"Aug 31, 2022","Jun 30, 2023",Left Midfield
259,Michal Siplak,"Feb 2, 1996",1.8,left,"Jul 7, 2017","Jun 30, 2023",Left Midfield
260,Patryk Zaucha,"Apr 19, 2000",1.7,left,"May 2, 2019","Jun 30, 2024",Left Midfield
261,Michal Rakoczy,"Mar 30, 2002",1.7, ,"Feb 9, 2018","Jun 30, 2027",Attacking Midfield
262,Jakub Myszor ,"Jun 7, 2002",1.7,both,"May 29, 2020","Jun 30, 2024", Attacking Midfield
263,Patryk Makuch,"Apr 11, 1999",1.8, ,"Jul 1, 2022","Jun 30, 2026",Attacking Midfield
264,Yevgen Konoplyanka,"Sep 29, 1989",1.7,right,"Feb 11, 2022","Jun 30, 2023",Attacking Midfield
265,Przemyslaw Kapek,"May 7, 2003",1.7,right,"May 29, 2020","Jun 30, 2023",Attacking Midfield
266,Marcin Budzinski,"Jul 6, 1990",1.8,right,"Aug 18, 2022","Jun 30, 2024",Attacking Midfield
267,Benjamin Källman,"Jun 17, 1998",1.8,right,"Jul 2, 2022","Jun 30, 2025",Centre-Forward
268,Sebastian Strozik,"May 15, 1999",1.9,right,"Jul 14, 2017","Jun 30, 2023",Centre-Forward
269,Kamil Ogorzaly,"Sep 5, 2000",1.7, ,"Jul 1, 2021","Jun 30, 2025",Centre-Forward
270,Kacper Smiglewski,"Jan 7, 2005",, ,"Jan 25, 2023",-,Centre-Forward
271,Kacper Tobiasz,"Nov 4, 2002",1.9,left,"Oct 7, 2020","Jun 30, 2026",Goalkeeper
272,Cezary Miszta,"Oct 30, 2001",1.9, ,"Jan 1, 2019","Jun 30, 2025",Goalkeeper
273,Dominik Hladun,"Sep 17, 1995",1.9,left,"Jul 1, 2022","Jun 30, 2026",Goalkeeper
274,Jakub Trojanowski,"Jul 15, 2001",1.9, ,"Nov 4, 2022","Jun 30, 2023",Goalkeeper
275,Maik Nawrocki,"Feb 7, 2001",1.9,both,"Jul 1, 2022","Jun 30, 2025",Centre-Back
276,Rafal Augustyniak,"Oct 14, 1993",1.8,right,"Jul 30, 2022","Jun 30, 2025",Centre-Back
277,Lindsay Rose,"Feb 8, 1992",1.8,right,"Jul 1, 2021","Jun 30, 2024",Centre-Back
278,Yuri Ribeiro,"Jan 24, 1997",1.7,left,"Aug 23, 2021","Jun 30, 2024",Centre-Back
279,Artur Jedrzejczyk,"Nov 4, 1987",1.8,right,"Jan 4, 2017","Jun 30, 2024",Centre-Back
280,Jan Ziolkowski,"Jun 5, 2005",1.9, ,"Jan 25, 2023",-,Centre-Back
281,Bartosz Slisz,"Mar 29, 1999",1.7,right,"Feb 28, 2020","Dec 31, 2024",Defensive Midfield
282,Igor Kharatin,"Feb 2, 1995",1.8,right,"Sep 1, 2021","Jun 30, 2024",Defensive Midfield
283,Patryk Sokolowski,"Sep 25, 1994",1.8, ,"Jan 6, 2022","Dec 31, 2023",Defensive Midfield
284,Jurgen Çelhaka,"Dec 6, 2000",1.8,right,"Aug 28, 2021","Jun 30, 2025",Defensive Midfield
285,Jakub Kisiel,"Feb 5, 2003",1.8, ,"Oct 7, 2020","Jun 30, 2025",Defensive Midfield
286,Filip Rejczyk,"Apr 20, 2006",1.7,right,"Jan 25, 2023","Jun 30, 2023",Central Midfield
287,Pawel Wszolek,"Apr 30, 1992",1.8,right,"Jul 7, 2022","Jun 30, 2025",Right Midfield
288,Mattias Johansson,"Feb 16, 1992",1.7,right,"Jul 1, 2021","Jun 30, 2023",Right Midfield
289,Filip Mladenovic,"Aug 15, 1991",1.8,left,"Jul 21, 2020","Jun 30, 2023",Left Midfield
290,Bartosz Kapustka,"Dec 23, 1996",1.7,right,"Aug 13, 2020","Jun 30, 2026",Attacking Midfield
291,Josué ,"Sep 17, 1990",1.7,left,"Jul 1, 2021","Jun 30, 2023", Attacking Midfield
292,Makana Baku,"Apr 8, 1998",1.7,right,"Jul 2, 2022","Jun 30, 2025",Attacking Midfield
293,Robert Pich,"Nov 12, 1988",1.7, ,"Jul 1, 2022","Jun 30, 2024",Attacking Midfield
294,Igor Strzalek,"Jan 19, 2004",1.8,both,"Feb 2, 2022","Jun 30, 2026",Attacking Midfield
295,Jakub Jedrasik,"Apr 7, 2005",1.7,both,"Jan 25, 2023","Jun 30, 2024",Attacking Midfield
296,Ernest Muci,"Mar 19, 2001",1.8,both,"Feb 23, 2021","Jun 30, 2025",Centre-Forward
297,Carlitos,"Jun 12, 1990",1.7,right,"Aug 16, 2022","Jun 30, 2024",Centre-Forward
298,Maciej Rosolek,"Sep 2, 2001",1.8,both,"Jul 5, 2019","Jun 30, 2025",Centre-Forward
299,Tomas Pekhart,"May 26, 1989",1.9,right,"Jan 30, 2023","Jun 30, 2024",Centre-Forward
300,Blaz Kramer ,"Jun 1, 1996",1.9,right,"Jul 1, 2022","Jun 30, 2025", Centre-Forward
301,Adrian Lis,"May 28, 1992",1.9,right,"Jul 1, 2017","Jun 30, 2023",Goalkeeper
302,Jedrzej Grobelny,"Jun 28, 2001",1.9, ,"Jul 1, 2021","Jun 30, 2024",Goalkeeper
303,Patryk Prange,"Jul 5, 2002",1.8, ,"Jul 19, 2021","Jun 30, 2024",Goalkeeper
304,Dimitrios Stavropoulos,"May 1, 1997",1.9,right,"Jul 5, 2022","Jun 30, 2024",Centre-Back
305,Robert Ivanov,"Sep 19, 1994",1.9,right,"Sep 1, 2020","Jun 30, 2023",Centre-Back
306,Dawid Szymonowicz,"Jul 7, 1995",1.8,right,"Oct 20, 2021","Jun 30, 2024",Centre-Back
307,Kamil Koscielny,"Aug 4, 1991",1.8,right,"Jul 1, 2022","Jun 30, 2024",Centre-Back
308,Wiktor Plesnierowicz,"Mar 29, 2001",1.8, ,"Jul 1, 2021","Jun 30, 2024",Centre-Back
309,Bartosz Kieliba,"Aug 1, 1990",1.8,right,"Jan 1, 2016","Jun 30, 2023",Centre-Back
310,Maciej Zurawski,"Dec 22, 2000",1.8,right,"Jul 20, 2022","Jun 30, 2024",Defensive Midfield
311,Niilo Mäenpää,"Jan 14, 1998",1.8,right,"Jan 1, 2022","Jun 30, 2024",Defensive Midfield
312,Mateusz Kupczak,"Feb 20, 1992",1.8,right,"Jul 17, 2019","Jun 30, 2024",Defensive Midfield
313,Michal Kopczynski,"Jun 15, 1992",1.8,both,"Aug 20, 2020","Jun 30, 2024",Defensive Midfield
314,Nikolas Korzeniecki,"Sep 26, 2001",1.8, ,"Jan 25, 2023","Jun 30, 2023",Defensive Midfield
315,Maksymilian Pogonowski,"Jan 30, 2004",, ,"Jun 30, 2022",-,Defensive Midfield
316,Jakub Paszkowski,"Sep 16, 2006",1.7, ,"Jul 29, 2022",-,Defensive Midfield
317,Jan Grzesik,"Oct 21, 1994",1.7,right,"Aug 24, 2020","Jun 30, 2023",Right Midfield
318,Konrad Matuszewski,"Oct 4, 2001",1.8,left,"Jul 15, 2021","Jun 30, 2024",Left Midfield
319,Jakub Kielb,"Jul 15, 1993",1.7,left,"Jul 29, 2016","Jun 30, 2023",Left Midfield
320,Miguel Luís,"Feb 27, 1999",1.7,right,"Jul 27, 2022","Jun 30, 2025",Attacking Midfield
321,Kajetan Szmyt,"May 29, 2002",1.7, ,"Mar 12, 2019","Jun 30, 2025",Attacking Midfield
322,Milosz Szczepanski,"Mar 22, 1998",1.6,right,"Jan 20, 2022","Jun 30, 2023",Attacking Midfield
323,Stefan Savic,"Jan 9, 1994",1.7,right,"Jan 26, 2023","Jun 30, 2023",Attacking Midfield
324,Michal Jakobowski,"Sep 8, 1992",1.7,both,"Jan 7, 2019","Jun 30, 2023",Attacking Midfield
325,Enis Destan,"Jun 15, 2002",1.8,right,"Aug 5, 2022","Jun 30, 2023",Centre-Forward
326,Adam Zrelak,"May 5, 1994",1.8,left,"Feb 11, 2021","Jun 30, 2025",Centre-Forward
327,Szymon Sarbinowski,"Mar 24, 2004",1.7, ,"Jul 14, 2022",-,Centre-Forward
328,Wiktor Kaminski,"Feb 23, 2004",1.8,right,"Feb 22, 2023","Dec 31, 2025",Centre-Forward
329,Zlatan Alomerovic,"Jun 15, 1991",1.8,right,"Jan 1, 2022","Jun 30, 2024",Goalkeeper
330,Bartlomiej Zynel,"Apr 9, 1998",1.8,left,"Aug 4, 2022","Jun 30, 2023",Goalkeeper
331,Slawomir Abramowicz,"Jun 9, 2004",1.8,left,"Aug 23, 2021","Jun 30, 2024",Goalkeeper
332,Milosz Piekutowski,"May 8, 2006",1.8,both,"Jul 15, 2022",-,Goalkeeper
333,Dusan Stojinovic,"Aug 26, 2000",1.8,right,"Jan 26, 2023","Jun 30, 2025",Centre-Back
334,Israel Puerto,"Jun 15, 1993",1.8,right,"Jul 1, 2021","Jun 30, 2023",Centre-Back
335,Milosz Matysik,"Apr 26, 2004",1.9, ,"Jan 1, 2021","Jun 30, 2024",Centre-Back
336,Mateusz Skrzypczak,"Aug 22, 2000",1.8,right,"Jul 1, 2022","Jun 30, 2024",Centre-Back
337,Michal Pazdan,"Sep 21, 1987",1.8,both,"Jul 3, 2021","Jun 30, 2023",Centre-Back
338,Michal Ozga,"Jun 23, 2000",1.8,right,"Jul 9, 2018","Jun 30, 2023",Centre-Back
339,Patryk Czerech ,"Apr 6, 2001",1.9,left,"Apr 15, 2022",-, Centre-Back
340,Bojan Nastic,"Jul 6, 1994",1.8,left,"Jan 27, 2021","Jun 30, 2024",Left-Back
341,Jakub Lewicki,"Sep 17, 2005",1.8,both,"Jul 15, 2022","Jun 30, 2025",Left-Back
342,Bartlomiej Wdowik,"Sep 25, 2000",1.8,left,"Jan 22, 2020","Jun 30, 2025",Left-Back
343,Kacper Tabis ,"Jan 31, 2000",1.7,right,"Jul 1, 2021","Jun 30, 2025", Right-Back
344,Pawel Olszewski,"Jun 7, 1999",1.7,right,"Jan 1, 2016","Jun 30, 2024",Right-Back
345,Michal Sacek,"Sep 19, 1996",1.8,right,"Feb 2, 2023","Jun 30, 2025",Defensive Midfield
346,Nené,"Jun 10, 1995",1.8,left,"Jul 1, 2022","Jun 30, 2024",Defensive Midfield
347,Taras Romanczuk,"Nov 14, 1991",1.8,left,"Jul 22, 2014","Jun 30, 2024",Defensive Midfield
348,Oliwier Wojciechowski,"Apr 5, 2005",1.7, ,"Jul 1, 2022","Jun 30, 2024",Defensive Midfield
349,Aurélien Nguiamba,"Jan 18, 1999",1.7,left,"Jan 13, 2023","Jun 30, 2023",Defensive Midfield
350,Bartosz Bernatowicz,"Feb 14, 2005",1.8,right,"Jul 15, 2022",-,Defensive Midfield
351,Jesús Imaz,"Sep 26, 1990",1.7,right,"Jan 21, 2019","Jun 30, 2025",Attacking Midfield
352,Juan Cámara,"Feb 13, 1994",1.8,left,"Jul 1, 2019","Jun 30, 2023",Attacking Midfield
353,Wojciech Laski,"May 21, 2000",1.8, ,"Jul 1, 2022","Jun 30, 2024",Attacking Midfield
354,Camilo Mena,"Oct 1, 2002",1.7,right,"Feb 14, 2023","Jun 30, 2023",Left Winger
355,Maciej Bortniczuk,"Sep 6, 2001",1.8, ,"Aug 11, 2020","Jun 30, 2024",Left Winger
356,Damian Wojdakowski,"Jun 24, 2005",1.8,right,"Sep 30, 2022","Dec 31, 2024",Left Winger
357,Tomas Prikryl,"Jul 4, 1992",1.7,right,"Jul 3, 2019","Jun 30, 2023",Right Winger
358,Tomasz Kupisz,"Jan 2, 1990",1.8,right,"Sep 2, 2022","Jun 30, 2024",Right Winger
359,Marc Gual,"Mar 13, 1996",1.8,right,"Mar 23, 2022","Jun 30, 2023",Centre-Forward
360,Bartosz Bida,"Feb 21, 2001",1.7,both,"Aug 2, 2017","Jun 30, 2023",Centre-Forward
361,Mikolaj Wasilewski,"Mar 19, 2001",1.7,right,"Jul 15, 2022",-,Centre-Forward
362,Michal Samborski,"Jan 20, 2004",, ,"Jul 2, 2021","Jun 30, 2024",Centre-Forward
363,Kacper Bieszczad,"Sep 11, 2002",1.9, ,"Mar 7, 2019","Jun 30, 2024",Goalkeeper
364,Sokratis Dioudis,"Feb 3, 1993",1.8,right,"Jan 27, 2023","Jun 30, 2023",Goalkeeper
365,Jasmin Buric,"Feb 18, 1987",1.9,right,"Jan 3, 2022","Jun 30, 2023",Goalkeeper
366,Alexander Steffen ,"Apr 6, 2004",1.8, ,"Nov 22, 2021",-, Goalkeeper
367,Szymon Weirauch,"Mar 5, 2004",1.9,right,"Jul 22, 2021","Jun 30, 2025",Goalkeeper
368,Michal Matys,"May 6, 2006",1.8, ,"Jul 12, 2022","Jun 30, 2024",Goalkeeper
369,Aleks Lawniczak,"May 5, 1999",1.8, ,"Jan 6, 2022","Jun 30, 2025",Centre-Back
370,Jaroslaw Jach,"Feb 17, 1994",1.9,left,"Jul 1, 2022","Jun 30, 2025",Centre-Back
371,Bartosz Kopacz,"May 21, 1992",1.8,right,"Jan 11, 2022","Jun 30, 2025",Centre-Back
372,Damian Oko,"Jan 22, 1997",1.9, ,"Apr 4, 2017","Jun 30, 2023",Centre-Back
373,Kamil Sobczak,"Jan 1, 2003",1.8, ,"Feb 2, 2022","Jun 30, 2023",Centre-Back
374,Kacper Lepczynski ,"Jul 18, 2001",1.9, ,"Jul 1, 2021","Jun 30, 2025", Centre-Back
375,Luís Mata,"Jul 6, 1997",1.8,left,"Feb 7, 2023","Jun 30, 2025",Left-Back
376,Mateusz Bartolewski,"Jan 12, 1998",1.8,left,"Jul 31, 2020","Jun 30, 2023",Left-Back
377,Mateusz Grzybek,"Mar 30, 1996",1.7,right,"Jan 9, 2023","Jun 30, 2026",Right-Back
378,Bartlomiej Kludka,"May 14, 2002",1.8, ,"Jul 1, 2021","Jun 30, 2024",Right-Back
379,Arkadiusz Wozniak,"Jun 1, 1990",1.8,right,"Jul 1, 2022","Jun 30, 2024",Right-Back
380,Jakub Kolan,"Aug 3, 2004",1.7, ,"Oct 18, 2022",-,Right-Back
381,Lukasz Lakomy,"Jan 18, 2001",1.8,right,"Jan 12, 2021","Jun 30, 2024",Defensive Midfield
382,Tomasz Makowski ,"Jul 19, 1999",1.8,right,"Jul 1, 2022","Jun 30, 2024", Defensive Midfield
383,Marko Poletanovic ,"Jul 20, 1993",1.8,right,"Jul 1, 2022","Jun 30, 2024", Defensive Midfield
384,Filip Kocaba,"Nov 13, 2004",1.8, ,"Feb 2, 2022","Jun 30, 2025",Defensive Midfield
385,Jakub Zubrowski,"Mar 21, 1992",1.8,right,"Jul 22, 2020","Jun 30, 2023",Defensive Midfield
386,Dawid Pakulski,"Jul 23, 1998",1.7,right,"Nov 16, 2017","Jun 30, 2023",Defensive Midfield
387,Kacper Terlecki,"Jul 31, 2005",1.8,left,"Jul 12, 2022","Jun 30, 2025",Central Midfield
388,Filip Starzynski,"May 27, 1991",1.8,right,"Jul 19, 2016","Jun 30, 2023",Attacking Midfield
389,Tomasz Pienko,"Jan 5, 2004",1.8,right,"Jul 1, 2021","Jun 30, 2024",Attacking Midfield
390,Kacper Masiak,"Jan 11, 2005",1.7, ,"Feb 2, 2022","Jun 30, 2024",Attacking Midfield
391,Damjan Bohar,"Oct 18, 1991",1.7,right,"Jul 1, 2022","Jun 30, 2024",Left Winger
392,Patryk Kusztal,"Mar 28, 2003",1.7, ,"Sep 20, 2021","Jun 30, 2024",Left Winger
393,Sasa Zivec,"Apr 2, 1991",1.7,right,"Jul 1, 2019","Jun 30, 2023",Left Winger
394,Kacper Chodyna,"May 24, 1999",1.7,right,"Feb 7, 2020","Jun 30, 2025",Right Winger
395,Tornike Gaprindashvili,"Jul 20, 1997",1.7,left,"Jul 17, 2022","Jun 30, 2025",Right Winger
396,Jakub Swierczok,"Dec 28, 1992",1.8,right,"Feb 10, 2023","Jun 30, 2023",Centre-Forward
397,Dawid Kurminowski,"Feb 24, 1999",1.8,right,"Sep 1, 2022","Jun 30, 2023",Centre-Forward
398,Rafal Adamski,"Nov 21, 2001",1.9, ,"May 5, 2022","Jun 30, 2025",Centre-Forward
399,Martin Dolezal,"May 3, 1990",1.8,right,"Jan 10, 2022","Jun 30, 2024",Centre-Forward
400,Cheikhou Dieng,"Nov 23, 1993",1.8,right,"Feb 28, 2022","Jun 30, 2024",Centre-Forward
401,Oliwier Slawinski,"Apr 15, 2005",1.8,right,"Feb 4, 2021","Dec 31, 2023",Centre-Forward
402,Bartosz Mrozek,"Feb 23, 2000",1.9,right,"May 12, 2022","Jun 30, 2023",Goalkeeper
403,Mateusz Kochalski,"Jul 25, 2000",1.9, ,"Jul 1, 2022","Jun 30, 2025",Goalkeeper
404,Mateusz Dudek,"Dec 14, 2002",1.8,right,"Jul 19, 2019","Jun 30, 2024",Goalkeeper
405,Kamil Kruk,"Mar 13, 2000",1.8, ,"Jul 3, 2022","Jun 30, 2023",Centre-Back
406,Marcin Flis ,"Feb 10, 1994",1.8,left,"Aug 18, 2020","Jun 30, 2023", Centre-Back
407,Mateusz Matras,"Jan 23, 1991",1.9,right,"Aug 20, 2020","Jun 30, 2023",Centre-Back
408,Dominykas Barauskas ,"Apr 18, 1997",1.8,left,"Jul 1, 2022","Jun 30, 2023", Centre-Back
409,Leandro,"Dec 29, 1983",1.8,left,"Jul 1, 2022","Jun 30, 2023",Centre-Back
410,Arkadiusz Kasperkiewicz,"Sep 29, 1994",1.8,right,"Jan 14, 2022","Jun 30, 2023",Defensive Midfield
411,Alex Vallejo,"Jan 16, 1992",1.9,right,"Jan 26, 2023","Jun 30, 2023",Defensive Midfield
412,Piotr Wlazlo,"Jun 3, 1989",1.8,right,"Jul 1, 2022","Jun 30, 2024",Defensive Midfield
413,Pawel Zyra,"Apr 7, 1998",1.7,both,"Jul 1, 2022","Jun 30, 2024",Defensive Midfield
414,Konrad Guca,"Aug 18, 2003",1.7, ,"Sep 21, 2021","Dec 31, 2023",Defensive Midfield
415,Michael Wyparlo,"Sep 25, 2003",1.9,right,"Jan 27, 2021","Jun 30, 2023",Defensive Midfield
416,Adrian Sobon,"Dec 20, 2002",1.7, ,"Jul 26, 2022","Jun 30, 2023",Defensive Midfield
417,Maciej Wolski,"Mar 29, 1997",1.7,right,"Jul 1, 2022","Jun 30, 2024",Right Midfield
418,Fabian Hiszpanski,"Oct 26, 1993",1.7,both,"Jul 5, 2022","Jun 30, 2023",Right Midfield
419,Krystian Getinger,"Aug 29, 1988",1.8,left,"Jul 11, 2013","Jun 30, 2023",Left Midfield
420,Fryderyk Gerbowski,"Jan 17, 2003",1.8, ,"Aug 3, 2022","Jun 30, 2023",Attacking Midfield
421,Adam Ratajczyk,"Jun 12, 2002",1.7,right,"Sep 1, 2022","Jun 30, 2023",Attacking Midfield
422,Maciej Domanski,"Sep 5, 1990",1.6,right,"Jan 29, 2020","Jun 30, 2023",Attacking Midfield
423,Koki Hinokio,"Feb 26, 2001",1.6,right,"Feb 7, 2023","Jun 30, 2025",Attacking Midfield
424,Mateusz Mak,"Nov 14, 1991",1.7,right,"Jul 30, 2019","Jun 30, 2023",Attacking Midfield
425,Bartlomiej Ciepiela,"May 24, 2001",1.8, ,"Jul 1, 2022","Jun 30, 2023",Attacking Midfield
426,Rauno Sappinen,"Jan 23, 1996",1.7,right,"Jan 24, 2023","Jun 30, 2023",Centre-Forward
427,Mikolaj Lebedynski,"Oct 14, 1990",1.8,right,"Jul 1, 2022","Jun 30, 2024",Centre-Forward
428,Rafal Leszczynski,"Apr 26, 1992",1.8,right,"Jul 1, 2022","Jun 30, 2024",Goalkeeper
429,Michal Szromnik,"Mar 4, 1993",1.9,left,"Aug 1, 2020","Jun 30, 2024",Goalkeeper
430,Maksymilian Boruc,"Nov 15, 2002",1.9,right,"Jul 1, 2021","Jun 30, 2025",Goalkeeper
431,Jozef Burta,"Sep 20, 1999",1.9, ,"Jul 2, 2021","Jun 30, 2023",Goalkeeper
432,Oskar Mielcarz,"Apr 14, 2004",1.9, ,"Jul 13, 2022","Jun 30, 2024",Goalkeeper
433,Konrad Poprawa ,"Jun 4, 1998",1.8,right,"Jul 12, 2017","Jun 30, 2025", Centre-Back
434,Daníel Leó Grétarsson,"Oct 2, 1995",1.8,left,"Jan 27, 2022","Jun 30, 2025",Centre-Back
435,Diogo Verdasca,"Oct 26, 1996",1.8,right,"Jul 1, 2021","Jun 30, 2024",Centre-Back
436,Yegor Matsenko ,"Jan 23, 2002",1.8,right,"Jul 12, 2022","Dec 31, 2024", Centre-Back
437,Mateusz Stawny,"Oct 23, 2003",1.8, ,"Oct 18, 2022","Jun 30, 2024",Centre-Back
438,Olivier Wypart,"Jan 16, 2001",1.8,left,"Dec 17, 2020","Jun 30, 2024",Centre-Back
439,Matías Nahuel,"Nov 22, 1996",1.7,right,"Jul 10, 2022","Jun 30, 2024",Defensive Midfield
440,Michal Rzuchowski,"Dec 27, 1993",1.7,right,"Jul 1, 2022","Jun 30, 2024",Defensive Midfield
441,Adrian Bukowski,"Mar 18, 2003",1.8, ,"Jan 1, 2021","Jun 30, 2026",Defensive Midfield
442,Szymon Michalski,"Mar 8, 2004",1.9,right,"Feb 2, 2022","Jun 30, 2024",Defensive Midfield
443,Filip Gryglak,"Sep 2, 2004",1.8,right,"Dec 17, 2021",-,Defensive Midfield
444,Patrick Olsen ,"Apr 23, 1994",1.7,right,"Feb 15, 2022","Jun 30, 2025", Central Midfield
445,Petr Schwarz ,"Nov 12, 1991",1.7,right,"Jul 1, 2021","Jun 30, 2023", Central Midfield
446,Lukasz Bejger,"Jan 11, 2002",1.9,right,"Jan 23, 2021","Jun 30, 2025",Right Midfield
447,Patryk Janasik,"Aug 25, 1997",1.7,right,"Aug 1, 2020","Jun 30, 2024",Right Midfield
448,Martin Konczkowski,"Sep 14, 1993",1.8,right,"Jul 1, 2022","Jun 30, 2024",Right Midfield
449,Lukasz Gerstenstein,"Oct 6, 2004",1.7,right,"Feb 24, 2023","Jun 30, 2024",Right Midfield
450,Víctor García,"May 31, 1994",1.8,left,"Jul 1, 2021","Jun 30, 2024",Left Midfield
451,Adrian Lyszczarz,"Aug 22, 1999",1.7,right,"Feb 8, 2017","Jun 30, 2023",Attacking Midfield
452,Karol Borys,"Sep 28, 2006",1.6,left,"May 20, 2022","Jun 30, 2023",Attacking Midfield
453,Piotr Samiec-Talar,"Nov 2, 2001",1.8,left,"Jul 18, 2018","Jun 30, 2024",Attacking Midfield
454,Marcel Zylla,"Jan 14, 2000",1.7,right,"Sep 8, 2020","Jun 30, 2024",Attacking Midfield
455,Przemyslaw Bargiel,"Mar 26, 2000",1.7,right,"Sep 2, 2019","Jun 30, 2024",Attacking Midfield
456,John Yeboah,"Jun 23, 2000",1.7,left,"Jul 1, 2022","Jun 30, 2025",Left Winger
457,Dennis Jastrzembski,"Feb 20, 2000",1.8,left,"Jan 25, 2022","Jun 30, 2025",Left Winger
458,Erik Expósito,"Jun 23, 1996",1.9,left,"Jul 1, 2019","Jun 30, 2024",Centre-Forward
459,Patryk Szwedzik,"Dec 2, 2001",1.8, ,"Feb 11, 2023","Jun 30, 2025",Centre-Forward
460,Caye Quintana,"Dec 20, 1993",1.8,right,"Jul 10, 2021","Jun 30, 2024",Centre-Forward
461,Jakub Lutostanski,"Sep 17, 2004",1.8, ,"Jul 1, 2022","Jun 30, 2025",Centre-Forward
462,Emmanuel Agbor,"Jun 21, 2003",, ,"Mar 7, 2023",-,Attack
463,Stefanos Kapino,"Mar 18, 1994",1.9,right,"Jan 22, 2023","Jun 30, 2023",Goalkeeper
464,Mateusz Abramowicz,"Nov 8, 1992",1.8,right,"Jul 23, 2021","Jun 30, 2024",Goalkeeper
465,Pawel Lenarcik,"Mar 21, 1995",1.9,right,"Jan 1, 2021","Jun 30, 2024",Goalkeeper
466,Alan Madalinski,"Aug 10, 2005",1.8, ,"Feb 26, 2021","Jun 30, 2024",Goalkeeper
467,Filip Chadala,"Jun 6, 2004",1.9,right,"Aug 23, 2022","Jun 30, 2025",Goalkeeper
468,Levent Gülen,"Feb 24, 1994",1.8,right,"Jul 1, 2022","Jun 30, 2024",Centre-Back
469,Jurich Carolina,"Jul 15, 1998",1.7,left,"Jul 1, 2021","Jun 30, 2024",Centre-Back
470,Nemanja Mijuskovic,"Mar 4, 1992",1.8,right,"Jul 1, 2019","Jun 30, 2024",Centre-Back
471,Andrzej Niewulis,"Apr 21, 1989",1.8,right,"Jan 23, 2023","Jun 30, 2024",Centre-Back
472,Michal Pojasek,"Jun 14, 1998",1.8,right,"Jul 15, 2021","Jun 30, 2023",Centre-Back
473,Mateusz Letkiewicz,"May 7, 2004",1.8,right,"Apr 1, 2022","Jun 30, 2024",Centre-Back
474,Santiago Naveda,"Apr 16, 2001",1.8,right,"Aug 9, 2022","Jun 30, 2023",Defensive Midfield
475,Chuca,"Jun 10, 1997",1.8,right,"Aug 27, 2021","Jun 30, 2023",Defensive Midfield
476,Maxime Dominguez,"Feb 1, 1996",1.7,left,"Jul 10, 2021","Jun 30, 2023",Defensive Midfield
477,Kamil Drygas,"Sep 7, 1991",1.8,left,"Jan 25, 2023","Jun 30, 2026",Defensive Midfield
478,Szymon Matuszek,"Jan 7, 1989",1.8,right,"Aug 4, 2020","Jun 30, 2023",Defensive Midfield
479,Damian Tront,"Oct 27, 1994",1.7, ,"Aug 11, 2020","Jun 30, 2023",Defensive Midfield
480,Korneliusz Karolczak,"Mar 12, 2004",1.7, ,"Feb 24, 2021","Jun 30, 2023",Defensive Midfield
481,Giannis Masouras,"Aug 24, 1996",1.8,right,"Jan 4, 2023","Jun 30, 2024",Right Midfield
482,Michael Kostka,"Dec 13, 2003",1.8,both,"Jul 1, 2022","Jun 30, 2025",Right Midfield
483,Dimitar Velkovski,"Jan 22, 1995",1.8,left,"Feb 14, 2023","Jun 30, 2023",Left Midfield
484,Hubert Matynia,"Nov 4, 1995",1.8,both,"Jul 1, 2022","Jun 30, 2024",Left Midfield
485,Olaf Kobacki,"Jul 10, 2001",1.7,right,"Jul 5, 2022","Jun 30, 2023",Attacking Midfield
486,Luciano Narsingh,"Sep 13, 1990",1.7,right,"Jul 20, 2022","Jun 30, 2023",Attacking Midfield
487,Koldo Obieta,"Oct 8, 1993",1.8,right,"Jul 1, 2022","Jun 30, 2024",Attacking Midfield
488,Dawid Drachal,"Jan 31, 2005",1.8,both,"Sep 1, 2022","Jun 30, 2025",Attacking Midfield
